what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1434634512517
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1434634516500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634516620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634516650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634519568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634547052
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434634547072
error,log,,,"Unable to validate connection settings.",1434634555996
error,log,,,"Unable to validate connection settings.",1434634555996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634556036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634558549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634565548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634566918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634572609
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634577698
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1434634577718
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1434634579891
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1434634580151
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1434634580171
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634597645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634967293
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1434634970224
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1434634970244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634977758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634977902
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434634978552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635229324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635233256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635265794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635279066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635296364
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1434635296384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1434635296384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635304749
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635310460
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434635310570
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1434635310600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635313030
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635316720
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1434635317893
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635320338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1434635321778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1434635323843
