what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085330464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085331525
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435085335409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1435085336330
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435085339231
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085341244
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085342351
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435085345456
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435085346392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1435085404537
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435085405660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085409170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085411541
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1435085412165
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1435085412165
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1435085412165
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1435085412165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085412181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085415769
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085456304
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085467654
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435085467701
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1435085474939
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1435085479416
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1435085479432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085480399
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085481632
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1435085482739
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1435085482755
opened,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435085484658
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1435085485032
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1435085485032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085526799
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085528125
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1435085528406
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435085530309
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1435085531558
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1435085537239
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1435085552356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1435085552824
